Year,LocationName,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,CountyFIPS
2022,17031813400,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,33.4,,,26.8,40.6,7571,5424,POINT (-87.7666419 41.8609814),17031813400,PREVENT,ACCESS2,CrdPrv,Health Insurance,17031
2022,17031818300,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,17.2,,,13.8,20.8,5922,4660,POINT (-87.8987752 41.8772724),17031818300,PREVENT,ACCESS2,CrdPrv,Health Insurance,17031
2022,17031806006,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,7.2,,,6.5,8.0,4885,4065,POINT (-87.8502225 42.0506342),17031806006,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031802200,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,4.3,,,3.5,5.6,4848,3727,POINT (-87.7881169 42.0729443),17031802200,PREVENT,ACCESS2,CrdPrv,Health Insurance,17031
2022,17031770300,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,68.8,,,65.9,71.5,7234,5925,POINT (-88.0063939 42.0411009),17031770300,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2022,17031805801,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.9,,,7.9,10.0,2580,2029,POINT (-87.8631205 42.01838),17031805801,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031803005,Health Outcomes,Depression among adults,%,Crude prevalence,17.3,,,15.2,19.7,2614,2031,POINT (-87.9920463 42.1322418),17031803005,HLTHOUT,DEPRESSION,CrdPrv,Depression,17031
2022,17031811301,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,14.9,,,13.2,16.7,4802,3703,POINT (-87.8832944 41.9159946),17031811301,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17031
2021,17031740200,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,30.7,,,27.7,33.8,5830,4430,POINT (-87.7127057 41.7047017),17031740200,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,17031
2021,17031809700,Health Outcomes,High blood pressure among adults,%,Crude prevalence,29.1,,,26.1,31.8,3714,2807,POINT (-87.6999151 42.0374659),17031809700,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,17031
2022,17031804902,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.5,,,7.6,9.5,5626,4461,POINT (-87.9309674 42.0446148),17031804902,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031802802,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.0,,,8.9,11.3,6991,5251,POINT (-87.9432469 42.071667),17031802802,HLTHOUT,DIABETES,CrdPrv,Diabetes,17031
2022,17031811701,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,16.8,,,15.0,18.8,3455,2554,POINT (-87.9029938 41.9421289),17031811701,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17031
2022,17031803603,Health Outcomes,Depression among adults,%,Crude prevalence,16.0,,,14.0,18.1,6824,5267,POINT (-88.0953704 42.1203621),17031803603,HLTHOUT,DEPRESSION,CrdPrv,Depression,17031
2022,17031805106,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.6,,,7.6,9.6,2778,2340,POINT (-87.9982952 42.0608181),17031805106,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031813000,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,74.4,,,71.8,76.8,3935,2874,POINT (-87.7806602 41.8763621),17031813000,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2022,17031820300,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.2,,,9.1,11.4,5588,4093,POINT (-87.8068826 41.7923913),17031820300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031808702,Disability,Mobility disability among adults,%,Crude prevalence,3.8,,,3.4,4.3,5481,5310,POINT (-87.6718922 42.058204),17031808702,DISABLT,MOBILITY,CrdPrv,Mobility Disability,17031
2022,17031680600,Health Outcomes,Depression among adults,%,Crude prevalence,16.3,,,14.3,18.4,1165,817,POINT (-87.6521652 41.7832811),17031680600,HLTHOUT,DEPRESSION,CrdPrv,Depression,17031
